time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain
2003-11-13 12:00:00,32.93199921,312.5,8.640008545,88.62938775,8.520657328,0.0328992
2003-11-13 13:00:00,143.1679993,312.4899902,8.879998779,78.12793243,9.226787042,0.0055392
2003-11-13 14:00:00,233.6320038,312.4899902,9.119989014,67.94973194,9.960607617,0
2003-11-13 15:00:00,273.9039917,290.6800537,9.360009766,58.08602024,10.72509643,0
2003-11-13 16:00:00,300.9179993,290.6700134,8.26003418,58.54971557,10.59083089,0.000576
2003-11-13 17:00:00,301.5390015,290.6600342,7.159997559,58.78115231,10.46847161,0.0031056
2003-11-13 18:00:00,229.1699982,288.2900085,6.070001221,58.69875726,10.37000014,0
2003-11-13 19:00:00,177.7290039,288.2799988,5.149987793,59.12709441,9.927870054,0
2003-11-13 20:00:00,112.5279999,288.269989,4.240014648,59.33559126,9.482114838,0
2003-11-13 21:00:00,12.97599983,283.6400146,3.330010986,59.34971096,9.046833919,0
2003-11-13 22:00:00,0,283.6300049,2.85,62.84265551,8.974686967,0
2003-11-13 23:00:00,0,283.6300049,2.370050049,66.51452849,9.02221748,0
2003-11-14 00:00:00,0,301.0700073,1.899987793,70.32270041,9.188476096,0
2003-11-14 01:00:00,0,301.0700073,1.279992676,71.25172388,10.32999962,0
2003-11-14 02:00:00,0,301.0599976,0.659997559,72.12722346,11.54653591,0
2003-11-14 03:00:00,0,284.2200012,0.050012207,72.8856108,12.81674257,0
2003-11-14 04:00:00,0,284.2099915,-0.820013428,72.27611634,12.99311326,0
2003-11-14 05:00:00,0,284.2000122,-1.679998779,71.23494346,13.20801628,0
2003-11-14 06:00:00,0,247.2700043,-2.549963379,69.841896,13.45960609,0.0047616
2003-11-14 07:00:00,0,247.2599945,-2.9,69.46680297,13.52158603,0
2003-11-14 08:00:00,0,247.2599945,-3.259985352,69.05824873,13.59251669,0
2003-11-14 09:00:00,0,246.8999939,-3.620001221,68.58625837,13.6546623,0
2003-11-14 10:00:00,0,246.8899994,-4.099951172,68.28255614,13.43983969,0.0003096
2003-11-14 11:00:00,0,246.8899994,-4.579992676,67.85462915,13.22517685,0
2003-11-14 12:00:00,25.88800049,264.1500244,-5.060003662,67.32498057,13.02322906,0
2003-11-14 13:00:00,120.2799988,264.1500244,-4.810003662,64.79210653,13.43066995,0
2003-11-14 14:00:00,197.7599945,264.1500244,-4.549993896,62.28392708,13.84694916,0
2003-11-14 15:00:00,279.0079956,266.8900146,-4.290014648,59.83895498,14.25839359,0
2003-11-14 16:00:00,306.8659973,266.8900146,-4.209997559,57.80890556,14.08103671,0
2003-11-14 17:00:00,307.5929871,266.8900146,-4.130010986,55.81792523,13.90063687,0
2003-11-14 18:00:00,391.3169861,224.3300018,-4.049993896,53.83581256,13.72724708,0
